"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","Sun Jun 07 08:50:08 UTC 2026","passed","Sun Jun 07 08:50:08 UTC 2026","Get entity","Users","",""
"","283","Update course","LMS service","Sun Jun 07 08:50:00 UTC 2026","passed","Sun Jun 07 08:50:00 UTC 2026","Update entity","Courses","",""
"","26","Get courses","LMS service","Sun Jun 07 08:50:00 UTC 2026","passed","Sun Jun 07 08:50:00 UTC 2026","Get entities","Courses","",""
"","244","Get file with incorrect file id","LMS service","Sun Jun 07 08:50:07 UTC 2026","passed","Sun Jun 07 08:50:07 UTC 2026","Validate entity","Files","",""
"","14","Get file","LMS service","Sun Jun 07 08:50:05 UTC 2026","passed","Sun Jun 07 08:50:05 UTC 2026","Get entity","Files","",""
"","248","Create file with empty directory","LMS service","Sun Jun 07 08:50:06 UTC 2026","passed","Sun Jun 07 08:50:06 UTC 2026","Validate entity","Files","",""
"","523","Create user","LMS service","Sun Jun 07 08:50:06 UTC 2026","passed","Sun Jun 07 08:50:07 UTC 2026","Create entity","Users","",""
"","19","Delete file","LMS service","Sun Jun 07 08:50:05 UTC 2026","passed","Sun Jun 07 08:50:05 UTC 2026","Delete entity","Files","",""
"","305","Create file","LMS service","Sun Jun 07 08:50:04 UTC 2026","passed","Sun Jun 07 08:50:04 UTC 2026","Create entity","Files","",""
"","278","Create exercise","LMS service","Sun Jun 07 08:50:01 UTC 2026","passed","Sun Jun 07 08:50:02 UTC 2026","Create entity","Exercises","",""
"","19","Update exercise","LMS service","Sun Jun 07 08:50:03 UTC 2026","passed","Sun Jun 07 08:50:03 UTC 2026","Update entity","Exercises","",""
"","270","Get exercises","LMS service","Sun Jun 07 08:50:02 UTC 2026","passed","Sun Jun 07 08:50:02 UTC 2026","Get entities","Exercises","",""
"","20","Delete exercise","LMS service","Sun Jun 07 08:50:04 UTC 2026","passed","Sun Jun 07 08:50:04 UTC 2026","Delete entity","Exercises","",""
"","280","Get exercise","LMS service","Sun Jun 07 08:50:02 UTC 2026","passed","Sun Jun 07 08:50:03 UTC 2026","Get entity","Exercises","",""
"","285","Create course","LMS service","Sun Jun 07 08:50:00 UTC 2026","passed","Sun Jun 07 08:50:01 UTC 2026","Create entity","Courses","",""
"","526","Login with correct email and password","LMS service","Sun Jun 07 08:49:59 UTC 2026","passed","Sun Jun 07 08:49:59 UTC 2026","Create entity","Authentication","",""
"","257","Create file with empty filename","LMS service","Sun Jun 07 08:50:06 UTC 2026","passed","Sun Jun 07 08:50:06 UTC 2026","Validate entity","Files","",""
