"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Update exercise","LMS service","Sat Jun 06 10:48:55 UTC 2026","passed","Sat Jun 06 10:48:55 UTC 2026","Update entity","Exercises","",""
"","18","Delete file","LMS service","Sat Jun 06 10:48:58 UTC 2026","passed","Sat Jun 06 10:48:58 UTC 2026","Delete entity","Files","",""
"","620","Create user","LMS service","Sat Jun 06 10:48:59 UTC 2026","passed","Sat Jun 06 10:49:00 UTC 2026","Create entity","Users","",""
"","31","Update course","LMS service","Sat Jun 06 10:48:52 UTC 2026","passed","Sat Jun 06 10:48:52 UTC 2026","Update entity","Courses","",""
"","342","Create file","LMS service","Sat Jun 06 10:48:56 UTC 2026","passed","Sat Jun 06 10:48:57 UTC 2026","Create entity","Files","",""
"","296","Create file with empty directory","LMS service","Sat Jun 06 10:48:59 UTC 2026","passed","Sat Jun 06 10:48:59 UTC 2026","Validate entity","Files","",""
"","12","Get file","LMS service","Sat Jun 06 10:48:57 UTC 2026","passed","Sat Jun 06 10:48:57 UTC 2026","Get entity","Files","",""
"","322","Delete exercise","LMS service","Sat Jun 06 10:48:56 UTC 2026","passed","Sat Jun 06 10:48:56 UTC 2026","Delete entity","Exercises","",""
"","11","Get user me","LMS service","Sat Jun 06 10:49:00 UTC 2026","passed","Sat Jun 06 10:49:00 UTC 2026","Get entity","Users","",""
"","22","Create exercise","LMS service","Sat Jun 06 10:48:53 UTC 2026","passed","Sat Jun 06 10:48:53 UTC 2026","Create entity","Exercises","",""
"","301","Get file with incorrect file id","LMS service","Sat Jun 06 10:48:59 UTC 2026","passed","Sat Jun 06 10:49:00 UTC 2026","Validate entity","Files","",""
"","297","Create file with empty filename","LMS service","Sat Jun 06 10:48:58 UTC 2026","passed","Sat Jun 06 10:48:58 UTC 2026","Validate entity","Files","",""
"","23","Create course","LMS service","Sat Jun 06 10:48:52 UTC 2026","passed","Sat Jun 06 10:48:52 UTC 2026","Create entity","Courses","",""
"","326","Get exercise","LMS service","Sat Jun 06 10:48:54 UTC 2026","passed","Sat Jun 06 10:48:55 UTC 2026","Get entity","Exercises","",""
"","28","Get courses","LMS service","Sat Jun 06 10:48:51 UTC 2026","passed","Sat Jun 06 10:48:51 UTC 2026","Get entities","Courses","",""
"","316","Get exercises","LMS service","Sat Jun 06 10:48:53 UTC 2026","passed","Sat Jun 06 10:48:54 UTC 2026","Get entities","Exercises","",""
"","620","Login with correct email and password","LMS service","Sat Jun 06 10:48:50 UTC 2026","passed","Sat Jun 06 10:48:51 UTC 2026","Create entity","Authentication","",""
