"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Get exercise","LMS service","Sat Jun 06 19:37:32 UTC 2026","passed","Sat Jun 06 19:37:32 UTC 2026","Get entity","Exercises","",""
"","28","Get courses","LMS service","Sat Jun 06 19:37:28 UTC 2026","passed","Sat Jun 06 19:37:28 UTC 2026","Get entities","Courses","",""
"","301","Create file with empty filename","LMS service","Sat Jun 06 19:37:35 UTC 2026","passed","Sat Jun 06 19:37:35 UTC 2026","Validate entity","Files","",""
"","26","Create course","LMS service","Sat Jun 06 19:37:29 UTC 2026","passed","Sat Jun 06 19:37:29 UTC 2026","Create entity","Courses","",""
"","344","Create file","LMS service","Sat Jun 06 19:37:33 UTC 2026","passed","Sat Jun 06 19:37:33 UTC 2026","Create entity","Files","",""
"","620","Login with correct email and password","LMS service","Sat Jun 06 19:37:27 UTC 2026","passed","Sat Jun 06 19:37:28 UTC 2026","Create entity","Authentication","",""
"","303","Get file with incorrect file id","LMS service","Sat Jun 06 19:37:36 UTC 2026","passed","Sat Jun 06 19:37:37 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Sat Jun 06 19:37:34 UTC 2026","passed","Sat Jun 06 19:37:34 UTC 2026","Get entity","Files","",""
"","20","Delete file","LMS service","Sat Jun 06 19:37:35 UTC 2026","passed","Sat Jun 06 19:37:35 UTC 2026","Delete entity","Files","",""
"","315","Get exercises","LMS service","Sat Jun 06 19:37:30 UTC 2026","passed","Sat Jun 06 19:37:31 UTC 2026","Get entities","Exercises","",""
"","17","Update exercise","LMS service","Sat Jun 06 19:37:32 UTC 2026","passed","Sat Jun 06 19:37:32 UTC 2026","Update entity","Exercises","",""
"","321","Delete exercise","LMS service","Sat Jun 06 19:37:33 UTC 2026","passed","Sat Jun 06 19:37:33 UTC 2026","Delete entity","Exercises","",""
"","304","Create file with empty directory","LMS service","Sat Jun 06 19:37:36 UTC 2026","passed","Sat Jun 06 19:37:36 UTC 2026","Validate entity","Files","",""
"","332","Update course","LMS service","Sat Jun 06 19:37:29 UTC 2026","passed","Sat Jun 06 19:37:29 UTC 2026","Update entity","Courses","",""
"","614","Create user","LMS service","Sat Jun 06 19:37:36 UTC 2026","passed","Sat Jun 06 19:37:37 UTC 2026","Create entity","Users","",""
"","21","Create exercise","LMS service","Sat Jun 06 19:37:30 UTC 2026","passed","Sat Jun 06 19:37:30 UTC 2026","Create entity","Exercises","",""
"","11","Get user me","LMS service","Sat Jun 06 19:37:37 UTC 2026","passed","Sat Jun 06 19:37:37 UTC 2026","Get entity","Users","",""
