"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","260","Get file with incorrect file id","LMS service","Sat Jun 06 19:16:17 UTC 2026","passed","Sat Jun 06 19:16:17 UTC 2026","Validate entity","Files","",""
"","19","Get exercise","LMS service","Sat Jun 06 19:16:12 UTC 2026","passed","Sat Jun 06 19:16:12 UTC 2026","Get entity","Exercises","",""
"","21","Create exercise","LMS service","Sat Jun 06 19:16:11 UTC 2026","passed","Sat Jun 06 19:16:11 UTC 2026","Create entity","Exercises","",""
"","16","Get exercises","LMS service","Sat Jun 06 19:16:12 UTC 2026","passed","Sat Jun 06 19:16:12 UTC 2026","Get entities","Exercises","",""
"","287","Login with correct email and password","LMS service","Sat Jun 06 19:16:08 UTC 2026","passed","Sat Jun 06 19:16:09 UTC 2026","Create entity","Authentication","",""
"","297","Get courses","LMS service","Sat Jun 06 19:16:09 UTC 2026","passed","Sat Jun 06 19:16:10 UTC 2026","Get entities","Courses","",""
"","18","Create file with empty directory","LMS service","Sat Jun 06 19:16:17 UTC 2026","passed","Sat Jun 06 19:16:17 UTC 2026","Validate entity","Files","",""
"","305","Update course","LMS service","Sat Jun 06 19:16:10 UTC 2026","passed","Sat Jun 06 19:16:10 UTC 2026","Update entity","Courses","",""
"","24","Get file","LMS service","Sat Jun 06 19:16:15 UTC 2026","passed","Sat Jun 06 19:16:15 UTC 2026","Get entity","Files","",""
"","310","Create file","LMS service","Sat Jun 06 19:16:14 UTC 2026","passed","Sat Jun 06 19:16:15 UTC 2026","Create entity","Files","",""
"","22","Delete file","LMS service","Sat Jun 06 19:16:16 UTC 2026","passed","Sat Jun 06 19:16:16 UTC 2026","Delete entity","Files","",""
"","22","Update exercise","LMS service","Sat Jun 06 19:16:13 UTC 2026","passed","Sat Jun 06 19:16:13 UTC 2026","Update entity","Exercises","",""
"","290","Create user","LMS service","Sat Jun 06 19:16:17 UTC 2026","passed","Sat Jun 06 19:16:17 UTC 2026","Create entity","Users","",""
"","18","Delete exercise","LMS service","Sat Jun 06 19:16:13 UTC 2026","passed","Sat Jun 06 19:16:13 UTC 2026","Delete entity","Exercises","",""
"","28","Create file with empty filename","LMS service","Sat Jun 06 19:16:16 UTC 2026","passed","Sat Jun 06 19:16:16 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Sat Jun 06 19:16:18 UTC 2026","passed","Sat Jun 06 19:16:18 UTC 2026","Get entity","Users","",""
"","38","Create course","LMS service","Sat Jun 06 19:16:11 UTC 2026","passed","Sat Jun 06 19:16:11 UTC 2026","Create entity","Courses","",""
