"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","296","Delete file","LMS service","Sat Jun 06 19:08:31 UTC 2026","passed","Sat Jun 06 19:08:32 UTC 2026","Delete entity","Files","",""
"","298","Get courses","LMS service","Sat Jun 06 19:08:26 UTC 2026","passed","Sat Jun 06 19:08:26 UTC 2026","Get entities","Courses","",""
"","30","Create course","LMS service","Sat Jun 06 19:08:27 UTC 2026","passed","Sat Jun 06 19:08:27 UTC 2026","Create entity","Courses","",""
"","13","Get file","LMS service","Sat Jun 06 19:08:31 UTC 2026","passed","Sat Jun 06 19:08:31 UTC 2026","Get entity","Files","",""
"","12","Get user me","LMS service","Sat Jun 06 19:08:34 UTC 2026","passed","Sat Jun 06 19:08:34 UTC 2026","Get entity","Users","",""
"","548","Create user","LMS service","Sat Jun 06 19:08:33 UTC 2026","passed","Sat Jun 06 19:08:33 UTC 2026","Create entity","Users","",""
"","273","Get file with incorrect file id","LMS service","Sat Jun 06 19:08:33 UTC 2026","passed","Sat Jun 06 19:08:33 UTC 2026","Validate entity","Files","",""
"","271","Create file with empty directory","LMS service","Sat Jun 06 19:08:33 UTC 2026","passed","Sat Jun 06 19:08:33 UTC 2026","Validate entity","Files","",""
"","20","Update exercise","LMS service","Sat Jun 06 19:08:29 UTC 2026","passed","Sat Jun 06 19:08:29 UTC 2026","Update entity","Exercises","",""
"","27","Delete exercise","LMS service","Sat Jun 06 19:08:30 UTC 2026","passed","Sat Jun 06 19:08:30 UTC 2026","Delete entity","Exercises","",""
"","303","Update course","LMS service","Sat Jun 06 19:08:26 UTC 2026","passed","Sat Jun 06 19:08:26 UTC 2026","Update entity","Courses","",""
"","554","Login with correct email and password","LMS service","Sat Jun 06 19:08:25 UTC 2026","passed","Sat Jun 06 19:08:25 UTC 2026","Create entity","Authentication","",""
"","278","Create file with empty filename","LMS service","Sat Jun 06 19:08:32 UTC 2026","passed","Sat Jun 06 19:08:32 UTC 2026","Validate entity","Files","",""
"","19","Get exercise","LMS service","Sat Jun 06 19:08:29 UTC 2026","passed","Sat Jun 06 19:08:29 UTC 2026","Get entity","Exercises","",""
"","63","Create file","LMS service","Sat Jun 06 19:08:30 UTC 2026","passed","Sat Jun 06 19:08:30 UTC 2026","Create entity","Files","",""
"","299","Create exercise","LMS service","Sat Jun 06 19:08:27 UTC 2026","passed","Sat Jun 06 19:08:28 UTC 2026","Create entity","Exercises","",""
"","11","Get exercises","LMS service","Sat Jun 06 19:08:28 UTC 2026","passed","Sat Jun 06 19:08:28 UTC 2026","Get entities","Exercises","",""
