"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","Login with correct email and password","LMS service","Sat Jun 06 10:45:45 UTC 2026","passed","Sat Jun 06 10:45:45 UTC 2026","Create entity","Authentication","",""
"","290","Update exercise","LMS service","Sat Jun 06 10:45:50 UTC 2026","passed","Sat Jun 06 10:45:50 UTC 2026","Update entity","Exercises","",""
"","12","Get user me","LMS service","Sat Jun 06 10:45:54 UTC 2026","passed","Sat Jun 06 10:45:54 UTC 2026","Get entity","Users","",""
"","569","Create file","LMS service","Sat Jun 06 10:45:51 UTC 2026","passed","Sat Jun 06 10:45:51 UTC 2026","Create entity","Files","",""
"","20","Delete file","LMS service","Sat Jun 06 10:45:52 UTC 2026","passed","Sat Jun 06 10:45:52 UTC 2026","Delete entity","Files","",""
"","20","Delete exercise","LMS service","Sat Jun 06 10:45:50 UTC 2026","passed","Sat Jun 06 10:45:50 UTC 2026","Delete entity","Exercises","",""
"","547","Create user","LMS service","Sat Jun 06 10:45:53 UTC 2026","passed","Sat Jun 06 10:45:54 UTC 2026","Create entity","Users","",""
"","299","Update course","LMS service","Sat Jun 06 10:45:46 UTC 2026","passed","Sat Jun 06 10:45:47 UTC 2026","Update entity","Courses","",""
"","286","Get file","LMS service","Sat Jun 06 10:45:51 UTC 2026","passed","Sat Jun 06 10:45:51 UTC 2026","Get entity","Files","",""
"","32","Create course","LMS service","Sat Jun 06 10:45:47 UTC 2026","passed","Sat Jun 06 10:45:47 UTC 2026","Create entity","Courses","",""
"","297","Get courses","LMS service","Sat Jun 06 10:45:46 UTC 2026","passed","Sat Jun 06 10:45:46 UTC 2026","Get entities","Courses","",""
"","263","Get file with incorrect file id","LMS service","Sat Jun 06 10:45:53 UTC 2026","passed","Sat Jun 06 10:45:54 UTC 2026","Validate entity","Files","",""
"","10","Get exercises","LMS service","Sat Jun 06 10:45:49 UTC 2026","passed","Sat Jun 06 10:45:49 UTC 2026","Get entities","Exercises","",""
"","270","Create file with empty directory","LMS service","Sat Jun 06 10:45:53 UTC 2026","passed","Sat Jun 06 10:45:53 UTC 2026","Validate entity","Files","",""
"","268","Create file with empty filename","LMS service","Sat Jun 06 10:45:52 UTC 2026","passed","Sat Jun 06 10:45:53 UTC 2026","Validate entity","Files","",""
"","20","Get exercise","LMS service","Sat Jun 06 10:45:49 UTC 2026","passed","Sat Jun 06 10:45:49 UTC 2026","Get entity","Exercises","",""
"","21","Create exercise","LMS service","Sat Jun 06 10:45:48 UTC 2026","passed","Sat Jun 06 10:45:48 UTC 2026","Create entity","Exercises","",""
